Anho,Moneda,Mes,G / ME,ME / USD
2002,DKK,1,"561,69","8,6079"
2002,ESP,1,"25,07","192,8900"
2002,NOK,1,"533,00","9,0713"
2002,ATS,1,"303,09","15,9521"
2002,ITL,1,"2,15","2.244,6900"
2002,BEF,1,"103,39","46,7650"
2002,BRL,1,"1.985,63","2,4350"
2002,ARS,1,"2.731,64","1,7700"
2002,CAD,1,"3.044,52","1,5881"
2002,ZAR,1,"422,82","11,4350"
2002,SDR,1,"6.014,26","1,2439"
2002,XAU,1,"1.362.019,50","281,7000"
2002,VEF,1,"6,33","763,7600"
2002,CLP,1,"7,13","678,4000"
2002,EUR,1,"4.170,19","0,8625"
2002,UYU,1,"340,49","14,2000"
2002,USD,2,"4.930,00","1,0000"
2002,DEM,2,"2.179,39","2,2621"
2002,JPY,2,"36,60","134,6900"
2002,GBP,2,"6.993,21","1,4185"
2002,CHF,2,"2.885,57","1,7085"
2002,FRF,2,"649,81","7,5868"
2002,SEK,2,"469,61","10,4981"
2002,NLG,2,"1.934,24","2,5488"
2002,DKK,2,"573,55","8,5956"
2002,ESP,2,"25,62","192,4400"
2002,NOK,2,"552,47","8,9236"
2002,ATS,2,"309,77","15,9152"
2002,ITL,2,"2,20","2.239,5000"
2002,BEF,2,"105,66","46,6570"
2002,BRL,2,"2.074,04","2,3770"
2002,ARS,2,"2.358,85","2,0900"
2002,CAD,2,"3.066,30","1,6078"
2002,ZAR,2,"433,03","11,3850"
2002,SDR,2,"6.131,44","1,2437"
2002,XAU,2,"1.465.689,00","297,3000"
2002,VEF,2,"4,62","1.067,0000"
2002,CLP,2,"7,30","675,1000"
2002,EUR,2,"4.259,52","0,8640"
2002,UYU,2,"337,67","14,6000"
2002,USD,3,"4.890,00","1,0000"
2002,DEM,3,"2.207,67","2,2150"
2002,JPY,3,"36,82","132,8100"
2002,GBP,3,"6.973,63","1,4261"
2002,CHF,3,"2.930,78","1,6685"
2002,FRF,3,"658,26","7,4287"
2002,SEK,3,"476,56","10,2610"
2002,NLG,3,"1.959,37","2,4957"
2002,DKK,3,"576,58","8,4810"
2002,ESP,3,"25,95","188,4300"
2002,NOK,3,"556,21","8,7917"
2002,ATS,3,"313,79","15,5836"
2002,ITL,3,"2,23","2.192,8300"
2002,BEF,3,"107,04","45,6850"
2002,BRL,3,"2.086,18","2,3440"
2002,ARS,3,"1.481,82","3,3000"
2002,CAD,3,"3.069,87","1,5929"
2002,ZAR,3,"424,16","11,5287"
2002,SDR,3,"6.097,34","1,2469"
2002,XAU,3,"1.447.440,00","296,0000"
2002,VEF,3,"5,51","888,0000"
2002,CLP,3,"7,35","664,9000"
2002,EUR,3,"4.284,13","0,8761"
2002,UYU,3,"331,53","14,7500"
2002,USD,4,"4.825,00","1,0000"
2002,DEM,4,"2.178,33","2,2150"
2002,JPY,4,"37,64","128,1800"
2002,GBP,4,"7.035,82","1,4582"
2002,CHF,4,"2.975,64","1,6215"
2002,FRF,4,"649,51","7,4287"
2002,SEK,4,"472,17","10,2188"
2002,NLG,4,"1.933,33","2,4957"
2002,DKK,4,"585,69","8,2381"
2002,ESP,4,"25,61","188,4300"
2002,NOK,4,"574,54","8,3980"
2002,ATS,4,"309,62","15,5836"
2002,ITL,4,"2,20","2.192,8300"
2002,BEF,4,"105,61","45,6850"
2002,BRL,4,"2.040,17","2,3650"
2002,ARS,4,"1.619,13","2,9800"
2002,CAD,4,"3.080,90","1,5661"
2002,ZAR,4,"456,65","10,5660"
2002,SDR,4,"6.127,75","1,2700"
2002,XAU,4,"1.494.785,00","309,8000"
2002,VEF,4,"5,74","840,0000"
2002,CLP,4,"7,45","647,9000"
2002,EUR,4,"4.352,63","0,9021"
2002,UYU,4,"289,27","16,6800"
2002,USD,5,"5.150,00","1,0000"
2002,DEM,5,"2.325,06","2,2150"
2002,JPY,5,"41,87","123,0000"
2002,GBP,5,"7.545,27","1,4651"
2002,CHF,5,"3.298,53","1,5613"
2002,FRF,5,"693,26","7,4287"
2002,SEK,5,"529,78","9,7210"
2002,NLG,5,"2.063,55","2,4957"
2002,DKK,5,"649,69","7,9269"
2002,ESP,5,"27,33","188,4300"
2002,NOK,5,"649,36","7,9309"
2002,ATS,5,"330,48","15,5836"
2002,ITL,5,"2,35","2.192,8300"
2002,BEF,5,"112,73","45,6850"
2002,BRL,5,"2.050,98","2,5110"
2002,ARS,5,"1.442,58","3,5700"
2002,CAD,5,"3.358,11","1,5336"
2002,ZAR,5,"532,58","9,6700"
2002,SDR,5,"6.642,47","1,2898"
2002,XAU,5,"1.667.827,50","323,8500"
2002,VEF,5,"4,52","1.140,0000"
2002,CLP,5,"7,87","654,1500"
2002,EUR,5,"4.827,10","0,9373"
2002,UYU,5,"308,75","16,6800"
2002,USD,6,"5.800,00","1,0000"
2002,DEM,6,"2.618,51","2,2150"
2002,JPY,6,"48,60","119,3400"
2002,GBP,6,"8.858,34","1,5273"
2002,CHF,6,"3.894,71","1,4892"
2002,FRF,6,"780,76","7,4287"
2002,SEK,6,"629,85","9,2085"
2002,NLG,6,"2.324,00","2,4957"
2002,DKK,6,"771,38","7,5190"
2002,ESP,6,"30,78","188,4300"
2002,NOK,6,"773,64","7,4970"
2002,ATS,6,"372,19","15,5836"
2002,ITL,6,"2,65","2.192,8300"
2002,BEF,6,"126,96","45,6850"
